COMPANY_ID,NAME,PAY_GROUP_ID,Pay Period,Pay Period Begin Date,Pay Period End Date,Deduction Cutoff Date,File Run Date
4230,PEARSON INC,01B0000781,9,08-APR-23,21-APR-23,21-APR-23,17-APR-23
4230,PEARSON INC,01B0000781,10,22-APR-23,05-MAY-23,05-MAY-23,01-MAY-23
4230,PEARSON INC,01B0000781,11,06-MAY-23,19-MAY-23,19-MAY-23,15-MAY-23
4230,PEARSON INC,01B0000781,12,20-MAY-23,02-JUN-23,02-JUN-23,29-MAY-23
4230,PEARSON INC,01B0000781,13,03-JUN-23,16-JUN-23,16-JUN-23,12-JUN-23
4230,PEARSON INC,01B0000781,14,17-JUN-23,30-JUN-23,30-JUN-23,26-JUN-23
4230,PEARSON INC,01B0000781,15,01-JUL-23,14-JUL-23,14-JUL-23,10-JUL-23
4230,PEARSON INC,01B0000781,16,15-JUL-23,28-JUL-23,28-JUL-23,24-JUL-23
4230,PEARSON INC,01B0000781,17,29-JUL-23,11-AUG-23,11-AUG-23,07-AUG-23
4230,PEARSON INC,01B0000781,18,12-AUG-23,25-AUG-23,25-AUG-23,21-AUG-23
4230,PEARSON INC,01B0000781,19,26-AUG-23,08-SEP-23,08-SEP-23,04-SEP-23
4230,PEARSON INC,01B0000781,20,09-SEP-23,22-SEP-23,22-SEP-23,18-SEP-23
4230,PEARSON INC,01B0000781,21,23-SEP-23,06-OCT-23,06-OCT-23,02-OCT-23
4230,PEARSON INC,01B0000781,22,07-OCT-23,20-OCT-23,20-OCT-23,16-OCT-23
4230,PEARSON INC,01B0000781,23,21-OCT-23,03-NOV-23,03-NOV-23,30-OCT-23
4230,PEARSON INC,01B0000781,24,04-NOV-23,17-NOV-23,17-NOV-23,13-NOV-23
4230,PEARSON INC,01B0000781,25,18-NOV-23,01-DEC-23,01-DEC-23,27-NOV-23
4230,PEARSON INC,01B0000781,26,02-DEC-23,15-DEC-23,15-DEC-23,11-DEC-23
5132,USIC LLC,01B0001234,1,26-DEC-22,08-JAN-23,05-JAN-23,05-JAN-23
5132,USIC LLC,01B0001234,2,09-JAN-23,22-JAN-23,19-JAN-23,19-JAN-23
5132,USIC LLC,01B0001234,3,23-JAN-23,05-FEB-23,02-FEB-23,02-FEB-23
5132,USIC LLC,01B0001234,4,06-FEB-23,19-FEB-23,16-FEB-23,16-FEB-23
5132,USIC LLC,01B0001234,5,20-FEB-23,05-MAR-23,02-MAR-23,02-MAR-23
5132,USIC LLC,01B0001234,6,06-MAR-23,19-MAR-23,16-MAR-23,16-MAR-23
5132,USIC LLC,01B0001234,7,20-MAR-23,02-APR-23,30-MAR-23,30-MAR-23
5132,USIC LLC,01B0001234,8,03-APR-23,16-APR-23,13-APR-23,13-APR-23
5132,USIC LLC,01B0001234,9,17-APR-23,30-APR-23,27-APR-23,27-APR-23
5132,USIC LLC,01B0001234,10,01-MAY-23,14-MAY-23,11-MAY-23,11-MAY-23
5132,USIC LLC,01B0001234,11,15-MAY-23,28-MAY-23,25-MAY-23,25-MAY-23
5132,USIC LLC,01B0001234,12,29-MAY-23,11-JUN-23,08-JUN-23,08-JUN-23
5132,USIC LLC,01B0001234,13,12-JUN-23,25-JUN-23,22-JUN-23,22-JUN-23
5132,USIC LLC,01B0001234,14,26-JUN-23,09-JUL-23,06-JUL-23,06-JUL-23
5132,USIC LLC,01B0001234,15,10-JUL-23,23-JUL-23,20-JUL-23,20-JUL-23
5132,USIC LLC,01B0001234,16,24-JUL-23,06-AUG-23,03-AUG-23,03-AUG-23
5132,USIC LLC,01B0001234,17,07-AUG-23,20-AUG-23,17-AUG-23,17-AUG-23
5132,USIC LLC,01B0001234,18,21-AUG-23,03-SEP-23,31-AUG-23,31-AUG-23
5132,USIC LLC,01B0001234,19,04-SEP-23,17-SEP-23,14-SEP-23,14-SEP-23
5132,USIC LLC,01B0001234,20,18-SEP-23,01-OCT-23,28-SEP-23,28-SEP-23
5132,USIC LLC,01B0001234,21,02-OCT-23,15-OCT-23,12-OCT-23,12-OCT-23
5132,USIC LLC,01B0001234,22,16-OCT-23,29-OCT-23,26-OCT-23,26-OCT-23
5132,USIC LLC,01B0001234,23,30-OCT-23,12-NOV-23,09-NOV-23,09-NOV-23
5132,USIC LLC,01B0001234,24,13-NOV-23,26-NOV-23,21-NOV-23,21-NOV-23
5132,USIC LLC,01B0001234,25,27-NOV-23,10-DEC-23,07-DEC-23,07-DEC-23
5132,USIC LLC,01B0001234,26,11-DEC-23,24-DEC-23,21-DEC-23,21-DEC-23
5251,FORMFACTOR,01B0001306,1,25-DEC-22,07-JAN-23,13-JAN-23,04-JAN-23
5251,FORMFACTOR,01B0001306,2,08-JAN-23,21-JAN-23,27-JAN-23,18-JAN-23
5251,FORMFACTOR,01B0001306,3,22-JAN-23,04-FEB-23,10-FEB-23,01-FEB-23
5251,FORMFACTOR,01B0001306,4,05-FEB-23,18-FEB-23,24-FEB-23,15-FEB-23
