COMPANY_ID,MERCER_ONECODE,OG_FUTURE_DATED_EVENTS_IND,YEAR_BEGIN_DATE,YEAR_END_DATE
27401,,,01-MAY-23,30-APR-24
28055,TEX121,Y,01-JAN-23,31-DEC-23
27295,,,01-APR-23,31-MAR-24
27534,,,01-FEB-23,31-JAN-24
27694,OMBRIC,Y,01-JAN-23,31-DEC-23
27699,HORACE,Y,01-JAN-23,31-DEC-23
27921,MCGR19,Y,01-JAN-23,31-DEC-23
28036,RDOL01,Y,01-JAN-23,31-DEC-23
27137,ULTR22,Y,01-JUL-23,30-JUN-24
27736,ATL263,Y,01-JAN-23,31-DEC-23
27718,Will23,Y,01-JAN-23,31-DEC-23
27754,GLEN90,Y,01-JAN-23,31-DEC-23
27836,SOU428,Y,01-JAN-23,31-DEC-23
27915,,,01-AUG-23,31-JUL-24
28114,STA508,Y,01-JAN-23,31-DEC-23
27735,AIRN09,Y,01-JAN-23,31-DEC-23
27801,RODD01,Y,01-JAN-23,31-DEC-23
27803,VSECOD,Y,01-JAN-23,31-DEC-23
28035,WES112,Y,01-JAN-23,31-DEC-23
27656,SPEC51,Y,01-JUL-23,30-JUN-24
27794,PEET04,Y,01-JAN-23,31-DEC-23
28014,BOND55,Y,01-JAN-23,31-DEC-23
27194,,,01-APR-23,31-MAR-24
27776,MIL206,Y,01-JAN-23,31-DEC-23
27821,NORT77,Y,01-JAN-23,31-DEC-23
27894,WSTN01,Y,01-JAN-23,31-DEC-23
27936,SIZE01,Y,01-JAN-23,31-DEC-23
27959,EQUANT,Y,01-JAN-23,31-DEC-23
28514,,,01-JAN-23,31-DEC-23
28623,WIDE02,Y,01-JAN-23,31-DEC-23
28640,BCADFL,Y,01-JAN-23,31-DEC-23
28798,MARS18,Y,01-JAN-23,31-DEC-23
28995,ALT133,Y,01-JAN-23,31-DEC-23
5153,CLRCLT,Y,01-JAN-23,31-DEC-23
29197,,,01-JAN-23,31-DEC-23
29275,,,01-JAN-23,31-DEC-23
29204,,,01-JAN-23,31-DEC-23
28078,VIEW01,Y,01-JAN-23,31-DEC-23
28082,YOSH01,Y,01-JAN-23,31-DEC-23
28554,7ELEVN,Y,01-JAN-23,31-DEC-23
28855,STR121,Y,01-JAN-23,31-DEC-23
28080,MANA17,Y,01-JAN-23,31-DEC-23
28557,DRIL09,Y,01-JAN-23,31-DEC-23
28674,,,01-JAN-23,31-DEC-23
28715,,,01-JAN-23,31-DEC-23
28875,NEME08,Y,01-JAN-23,31-DEC-23
29056,,,01-JAN-23,31-DEC-23
29006,,,01-JAN-23,31-DEC-23
28399,,,01-FEB-23,31-DEC-23
28736,KEI01H,Y,01-JAN-23,31-DEC-23
28083,EPIS06,Y,01-JAN-23,31-DEC-23
28234,,,01-AUG-23,31-JUL-24
28760,MICR11,Y,01-JAN-23,31-DEC-23
28955,WEL108,Y,01-JAN-23,31-DEC-23
29195,,,01-JAN-23,31-DEC-23
28315,,,01-JAN-23,31-DEC-23
28398,VICNYO,Y,01-JAN-23,31-DEC-23
29261,,,01-JAN-23,31-DEC-23
29415,,,01-JAN-23,31-DEC-23
29622,,,01-APR-23,31-MAR-24
29839,,,01-JAN-23,31-DEC-23
29827,,,01-FEB-23,31-JAN-24
30095,,,01-APR-23,31-MAR-24
30615,,,01-MAY-23,30-APR-24
30756,,,01-MAY-23,30-APR-24
30757,,,01-JUN-23,31-MAY-24
30858,,,01-JUN-23,31-MAY-24
29419,,,01-JAN-23,31-DEC-23
29504,,,01-JAN-23,31-DEC-23
29558,,,01-JAN-23,31-DEC-23
29579,,,01-MAR-23,29-FEB-24
29697,,,01-JAN-23,31-DEC-23
29857,,,01-FEB-23,31-JAN-24
29864,,,01-JAN-23,31-DEC-23
29975,,,01-FEB-23,31-JAN-24
29977,,,01-JAN-23,31-DEC-23
30096,,,01-FEB-23,31-JAN-24
30216,,,01-MAR-23,29-FEB-24
30315,,,01-APR-23,31-DEC-23
30377,,,01-APR-23,31-MAR-24
30399,,,01-JAN-23,31-DEC-23
29283,,,01-JAN-23,31-DEC-23
29441,,,01-JAN-23,31-DEC-23
29484,,,01-JAN-23,31-DEC-23
29499,,,01-JAN-23,31-DEC-23
29526,,,01-JAN-23,31-DEC-23
29698,,,01-MAR-23,29-FEB-24
29875,,,01-FEB-23,31-JAN-24
30455,,,01-APR-23,31-MAR-24
30635,,,01-JUN-23,31-MAY-24
30738,,,01-JAN-23,31-DEC-23
30698,,,01-JUL-23,31-DEC-23
29435,,,01-JAN-23,31-DEC-23
29418,,,01-JAN-23,31-DEC-23
29477,,,01-JAN-23,31-DEC-23
29425,,,01-JAN-23,31-DEC-23
29556,,,01-JAN-23,31-DEC-23
29561,,,01-JAN-23,31-DEC-23
29636,,,01-JAN-23,31-DEC-23
29638,,,01-JAN-23,31-DEC-23
29795,,,01-MAR-23,29-FEB-24
29858,,,01-JAN-23,31-DEC-23
29829,,,01-MAR-23,29-FEB-24
30195,,,01-FEB-23,31-JAN-24
29436,,,01-JAN-23,31-DEC-23
29440,,,01-JAN-23,31-DEC-23
29522,,,01-JAN-23,31-DEC-23
29523,,,01-JAN-23,31-DEC-23
29527,,,01-JAN-23,31-DEC-23
29555,,,01-JAN-23,31-DEC-23
29695,,,01-JAN-23,31-DEC-23
29823,,,01-JAN-23,31-DEC-23
30015,,,01-MAR-23,31-DEC-23
30075,,,01-JAN-23,31-DEC-23
30156,,,01-FEB-23,31-JAN-24
30276,,,01-MAR-23,29-FEB-24
30296,,,01-MAR-23,29-FEB-24
30395,,,01-APR-23,31-MAR-24
29356,,,01-JAN-23,31-DEC-23
29476,,,01-JAN-23,31-DEC-23
29583,,,01-JAN-23,31-DEC-23
29615,,,01-MAR-23,29-FEB-24
29818,,,01-FEB-23,31-JAN-24
30135,,,01-FEB-23,31-JAN-24
30438,,,01-JAN-23,31-DEC-23
30716,,,01-JUN-23,31-MAY-24
30736,,,01-MAY-23,30-APR-24
30737,,,01-MAY-23,30-APR-24
30739,,,01-JAN-23,31-DEC-23
30835,,,01-MAY-23,30-APR-24
29315,,,01-JAN-23,31-DEC-23
29496,,,01-JAN-23,31-DEC-23
29559,,,01-JAN-23,31-DEC-23
29817,,,01-FEB-23,31-JAN-24
30017,,,01-MAR-23,29-FEB-24
30055,,,01-MAR-23,29-FEB-24
30196,,,01-APR-23,31-DEC-23
30255,,,01-MAR-23,29-FEB-24
30335,,,01-MAR-23,29-FEB-24
30457,,,01-JAN-23,31-DEC-23
30655,,,01-JUN-23,31-MAY-24
30836,,,01-JAN-23,31-DEC-23
30837,,,01-JUL-23,31-DEC-23
30875,,,01-MAY-23,30-APR-24
29264,,,01-JAN-23,31-DEC-23
29355,,,01-FEB-23,31-JAN-24
29397,,,01-JAN-23,31-DEC-23
29438,,,01-JAN-23,31-DEC-23
29525,,,01-JAN-23,31-DEC-23
30275,,,01-MAR-23,29-FEB-24
30277,,,01-APR-23,31-DEC-23
30355,,,01-MAR-23,29-FEB-24
30376,KEND52,Y,01-JUN-23,31-MAY-24
30877,,,01-JUN-23,31-MAY-24
30878,,,01-JUN-23,31-MAY-24
30955,,,01-JUL-23,30-JUN-24
30975,,,01-JUN-23,31-MAY-24
30936,,,01-MAY-23,30-APR-24
31200,,,01-AUG-23,31-JUL-24
31238,,,01-AUG-23,31-JUL-24
31157,,,01-JUN-23,31-MAY-24
30995,,,01-JUL-23,31-DEC-23
31017,,,01-JUN-23,31-MAY-24
31018,,,01-JAN-23,31-DEC-23
31075,,,01-JUN-23,31-MAY-24
31055,,,01-JUN-23,31-DEC-23
31016,,,01-JUN-23,31-DEC-23
31096,,,01-JUN-23,31-MAY-24
31095,,,01-JUN-23,31-MAY-24
31179,,,01-JAN-23,31-DEC-23
31180,,,01-JUN-23,31-MAY-24
31218,,,01-JUL-23,31-DEC-23
31220,,,01-JUN-23,31-MAY-24
